IRF3,,30.783,30.483,31.381,30.168,29.068,,16.149,14.783,15.668,14.911,14.478
TAB1,28.992,29.5,27.967,27.862,28.823,29.419,15.757,15.98,14.869,15.034,15.491,15.958
PNN,21.834,22.942,22.605,22.513,,,14.211,15.28,15.053,15.418,,
ATP5B,21.225,21.885,22.147,21.973,,,13.209,14.095,,13.26,,
